0,embeddings,1
А.docx,[-0.02525  0.03528 -0.087   ...  0.0322   0.01563  0.0481 ],"Пирит   Размер:  10,1 х 9,0 х 5,2  Материал, техника:  минерал  Коллекция:  Ковдорский краеведческий музей  Местонахождение:  Муниципальное автономное учреждение культуры ""Ковдорский краеведческий музей""  Номер в Госкаталоге:  8451990       Друза кубических кристаллов пирита Ковдорского массива. Пирит - самый распространенный сульфид железа, его жёлто-золотистый цвет определил его название – «pyros», что по-гречески означает «огонь», «огненный камень». Поскольку при ударе по нему стальным предметом высекаются искры, минерал можно считать  первыми «спичками» человека. Пирит достаточно тверд, это единственный сульфид, способный царапать стекло. На Ковдорском массиве была обнаружена жила, содержащая               кубические кристаллы пирита, часто со штриховкой на гранях, либо в виде сплошных масс и зернистых агрегатов, которые впоследствии разошлись по музеям и частным коллекциям.     Пирит красив, без его крупных кубических кристаллов не обходится почти ни одна коллекция минералов. Тем не менее, в ювелирном деле использование пирита ограничено.    Пирит (известен как «золото инков») Своим светлым латунно-желтым цветом пирит (дисульфид железа, железный колчедан) напоминает золото.     Месторождения пирита разрабатывают преимущественно для извлечения содержащихся в нем примесей: золота, кобальта, никеля, меди. В некоторых богатых пиритом месторождениях содержится уран."
апатит текст.docx,[ 0.02399   0.011345 -0.0767   ...  0.01382  -0.004017 -0.005   ],"Название  Апатит    Размер:    Материал, техника:  Минерал    Коллекция:  Ковдорский краеведческий музей    Местонахождение:  Муниципальное автономное учреждение культуры ""Ковдорский краеведческий музей""    Минерал апатит получил свое название только в конце XVIII века, до этого его часто путали с турмалином, бериллом, диопсидом и другими. Именно поэтому название камня переводится с греческого как «обманываю». Такое название минералу дал в 18 веке обиженный немецкий геолог Авраам Вернер.   Сегодня апатитом называют сразу несколько минералов класса фосфатов, различая при этом три его разновидности: фторапатит, хлорапатит и гидроапатит. Как правило, минерал имеет зеленую, голубую или розовую окраску.   Месторождения апатита достаточно редки, а промышленные залежи встречаются еще реже. Крупнейшее в мире месторождение этого минерала находится в Мурманской области, в Хибинах, там добывают апатитонефелиновую руду. Также его добывают в Ковдоре, где расположено Ковдорское комплексное месторождение.   Апатит является незаменимым элементом для производства фосфорных удобрений. Из камней получают суперфосфаты или фосфоритную муку, затем этими удобрениями посыпают поля. Земля, удобренная таким образом, увеличивает урожаи в три раза. Сахарная свекла, выращенная на посыпанных апатитом полях, становится слаще, а семена подсолнечника — крупнее. Из-за этого апатит иногда даже называют «хлебным камнем».  Минерал используют в цветной и черной металлургии, так как он способен придать литью большую текучесть. Также апатит применяют при производстве керамики и стекла. С его помощью можно создать так называемое фосфорное стекло, пропускающее ультрафиолетовые лучи. Такое стекло позволяет наблюдать за доменным процессом или загорать прямо в помещении. Некоторые сорта фосфорного стекла способны выдерживать нагревание до 800 градусов Цельсия.  Апатит является одним из самых распространенных биоминералов. Его микрокристаллы есть в зубах и костях позвоночных животных и человека. В среднем кости человека и млекопитающих содержат 60-70% фосфатов кальция.  В ювелирном деле апатит не получил распространения из-за своей хрупкости, однако иногда его все же используют в производстве украшений. Ювелирные апатиты представляют скорее коллекционный интерес и имеют небольшие размеры, обычно до пяти каратов. Самый крупный ювелирный апатит весил 147 каратов, его нашли в Кении.  Название минерала носит город в Мурманской области, образованный в 1926 году.   В Испании желтый апатит («спаржевый камень») является государственным символом.  Часто содержит примеси марганца, железа, стронция, алюминия, редких земель.  Обладает люминесценцией при ультрафиолетовых длинных и коротких волнах."
Апатит.docx,[ 7.361e-02  9.668e-05 -5.063e-02 ...  1.015e-02  1.735e-02 -3.864e-02],"Как только не называют апатит: хлебный камень, минерал плодородия, обманщик.   Впервые научное описание апатитов было сделано в конце 18 века ученым А. Г. Вернером, которым было предложено имя для камня. Слово «апатит» имеет древнегреческое происхождение и переводится как «обманываю». Оно указывает на то, что природный апатит крайне разнообразен и может внешне напоминать другие камни, например, бериллы, диопсиды, турмалины.  Форма кристаллов минерала разнообразная: от призматической до игольчатой, реже встречается короткостолбчатая или таблитчатая. Для апатитов характерно наличие зернистых сахаровидных агрегатов, плотных масс, радиально-лучистых и шестоватых агрегатов. Тонковолокнистое строение встречается гораздо реже.  Чистые кристаллы апатитов бесцветные, полностью прозрачные или полупрозрачные. Их окраска зависит от состава примесей, например, железо дает минералу дымчатый или желтоватый тон, апатиты голубого и зелёного цвета содержат марганец и свинец.  Различают несколько разновидностей апатита согласно химическому составу: фторапатиты, хлорапатиты, гидроапатиты.  На самом же деле классифицировать этот минерал очень сложно, так как существует огромнейшее количество его природных модификаций с различной цветностью и прозрачностью.  Для самоцвета характерно проявление люминесценции, благодаря чему он изменяет свой цвет под разным углом зрения. Синие и желтые экземпляры часто украшены эффектом «кошачий глаз».  Твердость апатита по шкале Мооса составляет 5, что является достаточно низким показателем для ювелирной обработки и требует внимательного отношения к камню.  Стоит отметить, что апатиты занимают важное место в живой природе.  В биологических системах главное место фосфатов кальция - кости и зубы позвоночных животных, то есть рыб, земноводных, пресмыкающихся, птиц и млекопитающих. Кроме того, обнаружено несколько видов ископаемых моллюсков, чьи раковины состоят не из обычного для моллюсков карбоната кальция, а из фосфата кальция.  Все эти биологически образованные фосфаты кальция в научной литературе принято называть термином ""биологический апатит"". Главное отличие биологического апатита от просто апатита заключается в их химическом составе. Многочисленными исследованиями установлено, что в биологическом апатите часть ионов кальция, фосфата или гидроксида замещена другими ионами. Например, места ионов кальция могут занимать ионы стронция, магния, натрия или калия; ионы фосфата частично замещены ионами карбоната.  Промышленные залежи апатита редки. Крупнейшее в мире месторождение — Хибинское на Кольском полуострове в России, где добывают апатитовые руды, состоящие в основном из фторапатита и нефелина (апатитонефелиновая руда). Также известны Ошурковское и Белозиминское месторождения в Бурятии, Селигдарское, Нерянджинское и Улхан-Меленкинское — в Якутии.  Апатит является сырьём для производства фосфорных удобрений, фосфора и фосфорной кислоты, его применяют в чёрной и цветной металлургии, в производстве керамики и стекла."
бердо.docx,[ 0.01599   0.008156 -0.0931   ... -0.0081    0.01055   0.03738 ],"Бёрдо  Размер  17,6 х15,5 х 0,5   Материал, техника  Дерево  Коллекция  Ковдорский краеведческий музей  Местонахождение  Муниципальное автономное учреждение культуры   ""Ковдорский краеведческий музей ""  Номер в госкаталоге  4765424  Когда-то пояс был обязательным атрибутом костюма многих народностей, так что уметь ткать узорные пояса должна была каждая женщина. Девочку учили этому с 5-6 лет, нередко наказывая за ошибки и невнимательность.   Искусными мастерицами по плетению были и саамские женщины. Узорные пояса были непременными декоративными деталями саамского летнего и зимнего костюма, обуви, а также многих предметов обихода: поясков для колыбелей, сумок, охотничьих ружей.   Существовало несколько техник его изготовления. Наиболее простой и, очевидно, самый древний, - без использования каких-либо орудий. Саамские женщины брали определенное количество шерстяных разноцветных нитей и, сидя на полу с вытянутыми ногами, зацепляли их за подошву, переплетая нити в косицу или жгут. Сходный прием изготовления поясков существовал также у карел и вепсов.   У бабинских саамов пояски изготавливались при помощи иглы для рыболовных сетей. Аналогичный, своеобразный, способ плетения, так же, как бредень, применялся у русских восточной части Вологодчины.  Однако наиболее распространенным на Кольском полуострове для плетения инструментом было бёрдо. Это орудие у саамов, как и других народов Северо-Запада и центральных областей России представляло собой прямоугольной формы деревянную пластину с дырочками на тростях и сквозными узкими отверстиями между ними. Нити основы пропускали через круглые дырочки, а нити утка - между отверстиями в тростях. В зависимости от ширины пояса использовалась берда с различным количеством тростей - от 15 до нескольких десятков.  Ловозерские саамы называют это орудие «рамба». Слово происходит, видимо, от русского «рама». Что может быть одним из косвенных показателей направления, откуда в кольскую среду распространилась традиция тканья на бердечках.  Тканые на бердечке пояса характеризуются высоким мастерством исполнения и довольно сложными орнаментами. В основном орнаменты на саамских поясах, за исключением некоторых специфических черт, напоминают рисунчатые кушаки более южных народов Северо-Запада.   Деревянное бёрдо, хранящееся в музее, изготовлено в Швеции в 1999 году.    Точки интереса:  Изготовление поясов при помощи бердечка у саамов зафиксировано еще в письменных источниках XVII в. Однако исследователи все же полагают, что техника бердечного тканья - не столь древний способ, как, например, тканье «на дощечках», исторический возраст которого у прибалтийско-финских народов уходит в первобытные времена.  Как правило, бёрдо изготавливали из дерева. В Скандинавии - из кости и оленьего рога.  Если в начале XX в. изготовление узорных поясов являлось обычным занятием кольских женщин, то в настоящее время они плетут только на пальцах однотонные красные пояски, которыми опоясывают мужскую производственную обувь из меха – тоборки."
Вермикулит текст .docx,[-0.05133  0.02678 -0.05566 ...  0.0041  -0.01493 -0.01881],"Вермикулит  В Ковдорском округе находится одно из крупнейших в мире месторождений вермикулита. Это одна из разновидностей слюд, содержащая воду. Крупные пластинчатые кристаллы золотисто-жёлтого или зеленовато-бурого цвета скорее похожи на рыбью чешую, но никак не на червячка. Именно так («червячок») переводится название минерала с латинского vermiculus. Тогда откуда такое название?  Всё оттого, что если вермикулит хорошенько нагреть, то он резко увеличится в объеме. Вот тогда-то и образуются червеобразные столбики или поблескивающие золотом и серебром чешуйчатые нити. При таком процессе, напоминающем приготовление воздушной кукурузы, получается вспученный вермикулит.   Вермикулит – минерал уникальный. Не истирается, не поддается гниению, не разлагается, не горит, в нем не размножаются насекомые. Он нейтрален к действию кислот и щелочей, не является аллергеном или канцерогеном, не вступает ни в какие реакции со слизистыми.  А это значит, что его возможно использовать даже в пищевой отрасли. Без преувеличения можно сказать, что вермикулит применяется практически повсюду.    Вермикулит – отличный теплоизолятор. Человеку и животным нужно сохранять тепло, поэтому вспученный вермикулит активно применяют в жилом, промышленном, корабельном строительстве. Например, минерал засыпают под полы, в щели, между стенок и обшивок, добавляют в штукатурки и бетоны, включают в состав разнообразных строительных плит.  Автомобилестроение – важная сфера применения вермикулита. Его вводят в состав массы, из которой готовят колодки для разного вида транспорта. С целью быстро погасить температуру при торможении разработано и специальное содержащее вермикулит покрытие посадочных полос на авианосцах.  В сельском хозяйстве его используют для улучшения структуры почв, мульчирования и аэрации. Кроме того, его применяют для изготовления звукопоглощающих материалов, а также при производстве красок, ядохимикатов и различных пластмасс. Вермикулит нашел свое применение даже в атомной энергетике: он может быть отражателем гамма-излучений и поглотителем излучения радиоактивных изотопов.  При температуре 250-300 градусов объем минерала может увеличиться в 25-30 раз.  Благодаря порам вермикулит быстро впитывает воду или любые водные растворы из среды. В качестве поглотителя влаги его и применяют в животноводстве, птицеводстве и строительстве.  В фармацевтике, парфюмерии и косметике вермикулит используется в качестве инертного носителя лекарств, питательных, красящих и других веществ.  Коэффициент шумопоглощения десятисантиметрового слоя вспученного вермикулита в 2 раза больше, чем у двадцатисантиметровой кирпичной стены."
вермикулит текст.docx,[-0.01945   0.01672  -0.06     ... -0.01035  -0.000489 -0.02078 ],"Вермикулит  Название вермикулита произошло от латинского vermiculus, что означает «червячок». Минерал представляет собой крупные пластинчатые кристаллы желтого или бурого цвета, при нагревании которых образуются нити золотистого или серебристого цвета, похожие на червяков.  Такой нагретый вермикулит называют «вспученным». Его широко применяют в растениеводстве и гидропонике. Он обладает высоким коэффициентом водопоглощения, легко впитывает влагу и так же легко отдает ее. Благодаря этому вермикулит, используемый в качестве удобрения, способен создавать оптимальную среду для питания корней растений.  В сельском хозяйстве его используют для улучшения структуры почв, мульчирования и аэрации. Кроме того, его применяют для изготовления теплоизоляционных изделий, звукопоглощающих материалов, а также при производстве красок, ядохимикатов и различных пластмасс. Вермикулит нашел свое применение даже в атомной энергетике: он может быть отражателем гамма-излучений и поглотителем излучения радиоактивных изотопов.    В европейских странах широко распространено куда более прозаичное применения вермикулита. Там минерал используют при производстве наполнителей для кошачьих туалетов, а также грунтов для террариумов.  Крупнейшее в мире месторождение вермикулита находится около города Ковдор. Оно было обнаружено еще в конце XIX века, однако его разработка началась около ста лет спустя, когда вермикулит стали применять в сельском хозяйстве."
Грабилка.docx,[-0.005184  0.01627  -0.04565  ...  0.01477  -0.005585  0.02785 ],"Грабилка саамская самодельная   Начало XX в. Дерево.   Период создания:  предположительно первая половина XX века  Материал, техника:  Размер:33,5 х 12,5 х 7,5  Место создания:  Номер в Госкаталоге:  -   Пища саамов была не особенно разнообразной. Зимой – мясо, летом – рыба. Поэтому немалое значение имел сбор ягод. Их ели в сыром виде и заготавливали впрок. Среднее хозяйство заготавливало на зиму от 5-8 до 12-15 пудов ягод.  Особенно любима была морошка. Её собирали в берестяные корзины-короба и заготовляли на зиму, варя и сливая в бочки. Точно также, но в меньших количествах, консервировали голубику и чернику. Бруснику замачивали и замораживали в бочонках.   Много собирали на зиму и «черной» или «лопарской» (как называли ее русские) ягоды. Речь идет о водянике, или шикше. Ее собирали и ссыпали в мешки. В таком виде ягода сохранялась до самой весны. Сушка ягод у саамов не практиковалась.  Долгое время ягоду саамы собирали руками, но позже переняли у соседей полезное приспособление, позволяющее делать сборы в несколько раз быстрее - грабилку. В некоторых местах Карелии (Пинежский район) грабилку называют «гребнем», «ручкой», «набиркой», «побирушкой». «Грабить», по местному, значит - собирать, сгребать.   При сборе ягод грабилкой и действуют как гребнем: проводят ею несколько раз по ягодным кустам, веточки кустарника проскакивают между зубьями грабилки, ягоды с них отрываются и остаются в совке. Из совка ягоды ссыпаются в корзину или в фартук.  Грабилки обычно делали из березы или из осины. Инструментами служат пила, желобчатое долото, деревянный молоток и нож.  Мы не знаем, когда и кто сообразил вырезать из дерева первый такой инструмент, но можно предположить, кто вдохновил этого человека. Скорее всего — медведь. Ягодные места манят этого лакомку, чьи косолапые конечности вполне способны прокормить прожорливого лесного богатыря. Управляется он ими весьма ловко — и рыбу в стремнине ловит, и овес ест, и ягоды собирает. Тех медведей, которые повадились на засеянные поля, не зря называют овсяниками. Очевидец описывает: «На зад сел, лапы запустил в овес и снизу вверх по стеблю вжик когтями, загребая весь овес в пасть». Также и с ягодами: недаром длинные зубья грабилок так схожи с когтистой лапой медведя.     Точки интереса:  Зубчатая часть грабилки называется «гребенка». Количество зубьев зависит от ширины грабилки, бывает и 8, и даже 15 зубьев, в детских 6—8.  Средняя часть грабилки называется «ложечка». Сюда скатываются при сборе ягоды. Иногда мастера делали у плечиков совка углубление в виде чашки, чтобы ягоды не скатывались при каждом новом взмахе по кустам.  Рукоять, или «ручка». В ней иногда устраивается прорезь для пальцев. Получается род эфеса, защищающего руку от кустов ягодника."
итог.docx,[ 0.01235  0.00436 -0.08105 ...  0.01901 -0.01556  0.00511],"Минералоги считают диопсид породообразующим кристаллом. Иногда его называют малаколитом (что означает мягкий). Раньше его называли алалитом. Камень получил это название от слова Ала – река в Италии, около которой были найдены его первые образцы.  В России полезное ископаемое было обнаружено в Республике Саха. Его химические и физические свойства исследовал геолог А. М. Корчагин. Он доказал ценность двуликого минерала.  Однако до официальных поисков кристалла были и народные поверья, которые составили простые люди, случайно наткнувшиеся на диопсид. Необычная форма и переливы зеленого цвета ассоциировались у них со змеем или драконом. Считалось, что в камне заключена сила спящего многоголового чудовища. Если на поверхность минерала попадет капля крови, то дух пробудится и наделит владельца особыми качествами. Благодаря помощи со стороны мистического существа можно наладить жизнь и повлиять на будущее.  Диопсид от других минералов отличается очень широкой цветовой палитрой. Его имя с греческого переводится как «двойной лик», что и отражает это свойство, ведь натуральные диопсиды бывают и красные, и желтые, и коричневые, и зеленые, и фиолетовые, и розовые, и черные. Кроме того, у минерала существует еще одно название «малаколит», что буквально означает «мягкий», и указывает на его низкую твердость и на место обнаружения первого образца близ реки Ала (Италия).  Для того, чтобы назвать этот минерал, использовали два греческих слова. Это δυ, что переводится, как два и ὄψις, обозначающее слово “обличье”. Если сложить имеющиеся данные, то получаются “имеющий два обличия” или “двуликий”. Минерал получил такое название благодаря своей главной особенности — двупреломления кристаллов. Это оптическое искажение, при котором прямой луч света может расщепляться на два внутри драгоценного камня.  У диопсида от природы призматические кристаллы, имеющие почти квадратное поперечное сечение. Кристаллы могут быть зернистыми, пластинчатыми, массивными и столбчатыми.  Образец диопсида темного, местами чёрно-зеленого цвета с Ковдорского железорудного месторождения. Минерал из группы пироксенов. Диопсид может иметь различную окраску, которая создается примесями железа, марганца, ванадия и хрома. Агрегаты диопсида могут быть волокнистыми, при их обработке возникает бархатистый или перламутровый отлив. Диопсид широко распространен в основных и ультраосновных изверженных породах, иногда в пироксеновых диоритах, сиенитах, долеритах, базальтах, в контактово-метасоматических образованиях, в метаморфических породах. Тугоплавкий.   Ковдорский диопсид использовался ранее, во второй половине XX века, для изготовления минеральной ваты, керамической плитки. Образец передан  в музейную коллекцию руководителем минералогической группы инженерного цеха Ковдорского горно-обогатительного комбината Татьяной Николаевной Поганкиной."
Кальцит.docx,[ 0.0647   0.0588  -0.0713  ...  0.00485  0.02475  0.01214],"Кальцит – распространённый и полезный минерал, нашедший своё применение во многих сферах человеческой жизни.  Кальци́т - одна из природных форм карбоната кальция. Это — самый распространённый биоминерал: он участвует в строении очень многих живых организмов, в составе раковин и костей. Карбонат кальция имеет и другую модификацию — арагонит, вещество составляющее основу перламутра.   Кальцитом сложены многие осадочные породы: известняки, меловые породы, мергели. На первый взгляд они выглядят довольно невзрачно, но именно что на первый. Множество чудес природы обязаны своим происхождением именно кальциту и прочим соединениям кальция. Название происходит от греческого слова, означающего уменьшение порошка при нагревании и относившегося к обожженной извести. Латинское «кальк» — известь. Это устойчивая форма карбоната кальция при всех температурах и давлениях. Кроме ромбической модификации {арагонит).  Кальцит принадлежит к числу самых распространенных в земной коре минералов, слагая иногда целые массивы (известняковые горы).   Кальцит может образовываться различными путями. Горячие водные растворы, идущие из магматических очагов, часто несут растворенный углекислый кальций, который при охлаждении выпадает в твердом виде, и возникают кальцитовые жилы. Эти жилы содержат также сульфиды различных металлов. Так образуется кальцит гидротермального происхождения. Кроме того, кальцит такого происхождения встречается в пустотах излившихся магматических пород. Отложения кальцита (известковый туф) наблюдается также на поверхности Земли у выходов некоторых минеральных источников.  Некоторые низшие морские организмы строят скелет СаСО3. После смерти животных скелетные остатки накапливаются на дне морей и образуют мощные толщи известняков, состоящих в основном из кальцита. Некоторые минералы глубинного происхождения, например, полевые шпаты, при химическом выветривании на поверхности Земли под действием углекислоты и воздуха дают кальцит.  Кроме того, выделение кальцита из холодных подземных вод поверхностного происхождения, в пещерах, в пустотах пород, чаще всего среди известняков. Толщи известняков под действием высокой температуры перекристаллизовываются и превращаются в зернистые известняки – мраморы, состоящие из кальцита.  Кальцит имеет неметаллический блеск, среднюю твердость или мягкий, бурно вскипает при действии разбавленной соляной кислотой или уксусом. Кальцит можно спутать с доломитом или магнезитом. Отличие – доломит реагирует с разбавленной соляной кислотой только в порошкообразном виде, магнезит – с нагретой соляной кислотой. Похожий на него ангидрит не реагирует с разбавленной соляной кислотой.  Кальцит в составе известняков широко используется в производстве цемента и извести, в качестве флюса в металлургии, как природный строительный материал. Сложенные кальцитом мраморы и мраморные ониксы являются облицовочным и поделочным материалом. Исландский шпат используется в оптике. Кристаллы, друзы и щётки кальцита – декоративно-коллекционный материал. Месторождения известны повсеместно; исландского шпата – в Исландии, Мексике, ЮАР, России (в Эвенкии, Якутии, Туве).  Также интересно, что при сильном нагревании распадается на углекислоту и негашеную известь; разновидностей кальцита насчитывается более 700; коралловые рифы – это тоже кальцит, образованный из скелетов мертвых низших животных. Большой Барьерный риф (Австралия) в длину достигает 2000 км; земная кора содержит всего 4% этого минерала по весу, но почти половину – по площади; кальцит растворяется исключительно в холодной воде, но не растворяется в тёплой. По этой причине коралловые рифы встречаются только в тёплых морях; самый большой из когда-либо обнаруженных кристаллов кальцита имеет вес более 15 кг; такая разновидность кальцита, как известняк, имеется на всех континентах, кроме Австралии."
Клятва-партизан.docx,[ 0.01762   0.02028  -0.05563  ... -0.00695  -0.006527  0.0275  ],"КЛЯТВА ПАРТИЗАН    «Я, гражданин Союза Советских Социалистических Республик, вступая в ряды красных партизан, принимаю присягу и торжественно клянусь, быть честным, храбрым, дисциплинированным, бдительным партизаном, строго хранить военную и государственную тайну, беспрекословно выполнять все приказы командира и политических руководителей.  Я клянусь до последнего дыхания быть преданным своему народу, своей Советской Родине и рабочее - крестьянскому правительству.  Я готов, как верный сын своей Родины, с оружием, в руках действовать во временно захваченных врагом районах, создавать невыносимые условия для врага и всех его пособников.  Я клянусь мужественно, умело, с достоинством и честью не щадя своей крови и самой жизни, преследовать и уничтожать на каждом шагу чужеземных захватчиков и грабителей до полной победы над врагом.  Если же по этому умыслу я нарушу эту мою торжественную клятву, то пусть меня постигнет суровая кара советского закона, всеобщая ненависть и презрение трудящихся»."
